posteam,team_name,pass_to_run,shotgun_freq,no_huddle_freq,short_passes_freq,deep_passes_freq,middle_passes,side_passes,scramble_freq,first_down_rush_pct,epa_pass,epa_run,yac,inside_run_pct,outside_run_pct,yards_gained_1,yards_gained_2,yards_gained_3,yards_gained_4,ydstogo_3rd_down,avg_air_yards,team_conf,team_division,team_logo_espn,team_color,team_color2,scheme,score_west_coast_mcvay,score_air_raid,score_spread_option,score_west_coast,score_run_power,score_pistol_power_spread,score_shanahan_wide_zone
ARI,Arizona Cardinals,0.5718283582089553,0.6875,0.0998134328358208,0.7797202797202797,0.1678321678321678,0.1783216783216783,0.7692307692307693,0.0668841761827079,0.4159021406727828,0.0758305266499519,0.0561771728098392,5.272727489471436,0.6949891067538126,0.2832244008714596,6.0401692390441895,6.093294620513916,5.635416507720947,4.0,6.395833492279053,6.821033000946045,NFC,NFC West,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,#97233F,#000000,West Coast,0.5763806797065811,0.2844494982098348,0.08451492537313417,0.6561940584629335,0.39159553539492115,0.4238059415370668,0.41094194062367895
ATL,Atlanta Falcons,0.5518518518518518,0.812962962962963,0.1453703703703703,0.7589134125636672,0.1833616298811545,0.2122241086587436,0.7300509337860781,0.011744966442953,0.4018126888217522,0.0499394983053207,0.0150371985509991,5.379120826721191,0.6012396694214877,0.378099173553719,6.0649895668029785,5.782485961914063,5.44444465637207,7.838709831237793,7.106280326843262,8.046846389770508,NFC,NFC South,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,#A71930,#000000,Spread Option,0.31916401515052156,0.24549293755783505,0.41215960422450204,0.2944444444444447,0.2944444444444447,0.1453623622579595,0.2944444444444447
BAL,Baltimore Ravens,0.5009225092250923,0.672509225092251,0.0525830258302583,0.7349397590361446,0.2128514056224899,0.2329317269076305,0.714859437751004,0.0828729281767955,0.4517906336088154,0.3348925709724426,0.110430896282196,6.559748649597168,0.6284658040665434,0.3604436229205175,7.06584358215332,6.89595365524292,7.132275104522705,3.0,7.121693134307861,8.811440467834473,AFC,AFC North,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,#241773,#9E7C0C,West Coast,0.33574544136787055,0.061207175055247594,0.2972324723247231,0.48514757748053366,0.15276752767527674,0.27120717505524744,0.181560352620029
BUF,Buffalo Bills,0.5514285714285714,0.6295238095238095,0.0609523809523809,0.7509363295880149,0.2209737827715356,0.1591760299625468,0.8127340823970037,0.077720207253886,0.4361370716510903,0.248737633228302,0.120150551199913,6.623100280761719,0.7791932059447984,0.2186836518046709,5.62696647644043,6.383481025695801,6.419191837310791,8.409090995788574,6.6565656661987305,8.211946487426758,AFC,AFC East,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,#00338D,#C60C30,Run Power,0.4788541947965061,0.0,0.14571428571428585,0.5087603844245266,0.5832036157913049,0.17991740331697553,0.45685542046221783
CAR,Carolina Panthers,0.6097087378640776,0.6524271844660194,0.0689320388349514,0.7435897435897436,0.1914529914529914,0.1982905982905982,0.7367521367521368,0.0684713375796178,0.3707865168539326,-0.1028568521142005,0.0191142838448286,4.196480751037598,0.7810945273631841,0.2139303482587064,5.796690464019775,4.546875,5.085308074951172,3.200000047683716,6.791469097137451,8.160877227783203,NFC,NFC South,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,#0085CA,#000000,West Coast McVay,0.5514751162042606,0.10574257598587505,0.0,0.40055388814827136,0.3144061247162247,0.4430437090169744,0.2013344004357619
CHI,Chicago Bears,0.6221821460775473,0.6780883678990082,0.2461677186654643,0.69375,0.184375,0.16875,0.709375,0.072463768115942,0.3605947955390334,-0.0978791117668151,-0.0575108118355274,5.314447402954102,0.6229116945107399,0.3699284009546539,4.69069766998291,4.903682708740234,3.78947377204895,5.815789699554443,7.65350866317749,8.067615509033203,NFC,NFC North,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,#0B162A,#E64100,West Coast McVay,0.5216048168598055,0.31482849195699164,0.17876015477027135,0.31544550476560296,0.08345356176735826,0.5085383812308862,0.09146161876911355
CIN,Cincinnati Bengals,0.6626947754353804,0.8230980751604033,0.0293308890925756,0.8017118402282454,0.1269614835948644,0.2054208273894436,0.7232524964336662,0.0304287690179806,0.2580645161290322,0.1434012204408645,-0.0112060382962226,4.765217304229736,0.8152173913043478,0.1766304347826087,6.28690242767334,5.392045497894287,5.537383079528809,6.315789699554443,6.299065589904785,7.087557792663574,AFC,AFC North,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,#FB4F14,#000000,Pistol Power Spread,0.11191567369385887,0.20995652285726973,0.23456697198650905,0.0,0.06956521739130443,0.4427852389112503,0.19681140453846158
CLE,Cleveland Browns,0.665514261019879,0.7536732929991357,0.1469317199654278,0.7397820163487738,0.159400544959128,0.1852861035422343,0.7138964577656676,0.0467532467532467,0.3406593406593406,-0.2447615712881088,-0.0667856633663177,4.331645488739014,0.7493540051679587,0.2454780361757106,4.838362216949463,4.78804349899292,4.071730136871338,3.340909004211426,7.902953624725342,7.78636360168457,AFC,AFC North,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,#FF3C00,#311D00,Air Raid,0.12441495424880822,0.5929336669244722,0.1598897269101573,0.14011027308984242,0.3806201550387598,0.47452522733865105,0.012248062015503759
DAL,Dallas Cowboys,0.6205962059620597,0.7199638663053297,0.087624209575429,0.7851851851851852,0.154074074074074,0.2192592592592592,0.72,0.0174672489082969,0.3379310344827586,-0.1066436767578125,-0.1138955950736999,5.1005024909973145,0.7642857142857142,0.2166666666666666,5.144067764282227,5.035616397857666,5.3832597732543945,3.2142856121063232,7.079295158386231,7.389589786529541,NFC,NFC East,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,#002244,#B0B7BC,West Coast,0.3890743256247849,0.32332892719269807,0.051367284499348194,0.519074325624785,0.32630662020905904,0.42265156139714305,0.08821138211382114
DEN,Denver Broncos,0.5922865013774105,0.6097337006427915,0.1276400367309458,0.765993265993266,0.1919191919191919,0.1936026936026936,0.7643097643097643,0.0790697674418604,0.4189189189189189,0.0390798710286617,-0.0049226586706936,5.511873245239258,0.7342342342342343,0.2612612612612612,5.175675868988037,5.223837375640869,5.583333492279053,8.142857551574707,6.811403274536133,7.258347988128662,AFC,AFC West,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,#002244,#FB4F14,West Coast McVay,0.6679766393119854,0.09824561403508776,0.02314049586776863,0.2617351085250003,0.6113134804956101,0.40876576906616485,0.4519441111262398
